"","(Intercept)","FinFSLdat_AnnEsts","FinWestSST_AnnEsts","FinWestSST_SummerDat","FSL_months_Apr","FSLdat_Spring","s(Ages)","SST_West_Months_Jul","SST_West_Months_Jun","SST_West_Months_Oct","SST_West_Months_Sep","WestSST_Spring","WestSST_Winter","df","logLik","AICc","delta","weight"
"1596",-10.7052605061352,-8.58922841551479,2.08261253089552,NA,4.20678369409526,7.02385368170618,"+",NA,NA,NA,0.753450017545661,-1.46168662084304,NA,11,-3291.64725380058,6605.52427261422,0,0.05057119028109
"1852",-10.53671114495,-8.43578233603235,2.22014195987658,NA,4.13134429602587,7.09905411150304,"+",NA,NA,0.476141276262996,0.921605484722882,-2.26062993737684,NA,12,-3290.95880053206,6606.1893780676,0.665105453385877,0.0362641382306543
"1084",-8.57731445000615,-6.94103083652944,2.01029488943798,NA,4.31455817596436,5.69814561174972,"+",NA,NA,NA,NA,-0.777303758491225,NA,10,-3293.22603594287,6606.64337623356,1.11910361934497,0.0288996719094289
"1600",-14.2403361759207,-7.77247284643776,2.11226894928417,0.259166676648579,3.66163702188233,6.29136791699683,"+",NA,NA,NA,0.710321370058971,-1.53724352042178,NA,12,-3291.51003688584,6607.29185077516,1.76757816094141,0.0208967359397129
"3644",-10.1404261325966,-8.73639532141642,2.11094418964296,NA,4.32257225610977,7.15002736551496,"+",NA,NA,NA,0.815573970563885,-1.44616477393657,-0.137143295566109,12,-3291.54038723014,6607.35255146376,1.82827884954168,0.0202720406203017
"60",-7.26042078066725,-5.87632742402246,1.24971774357682,NA,2.87390943365695,5.44732568749028,"+",NA,NA,NA,NA,NA,NA,9,-3294.59965311402,6607.35569197955,1.83141936533593,0.0202402332678356
"3708",-8.04180495479366,-7.44829904902543,1.68243802390264,NA,3.87753197341335,6.5642631584897,"+",0.531451291785957,NA,NA,0.83262677075001,-1.0681629805762,-0.720769115857713,13,-3290.74679047161,6607.81093055088,2.28665793666642,0.0161198766292732
"1856",-14.2794471216491,-7.56555932734131,2.2554679804284,0.274744978630726,3.5512864577344,6.32465445433403,"+",NA,NA,0.48961658500004,0.880641000698362,-2.36333503162542,NA,13,-3290.7864796065,6607.89030882066,2.36603620644473,0.0154926225931801
"1660",-10.779674408754,-8.1380271332964,1.95319534407218,NA,3.98577554802428,6.75908728210322,"+",0.125435717374138,NA,NA,0.695137875856458,-1.38818081494772,NA,12,-3291.84035507436,6607.9524871522,2.42821453797933,0.0150183799818953
"1088",-13.2599274207662,-6.01588393724876,2.05355305246973,0.331880534173313,3.6085209324631,4.85732269927449,"+",NA,NA,NA,NA,-0.924219309520887,NA,11,-3292.90911379282,6608.0479925987,2.5237199844787,0.0143180654749057
"3900",-10.2158661423863,-8.52387795696822,2.23351941696909,NA,4.19965424494173,7.17006618032221,"+",NA,NA,0.465896287781869,0.953743826300991,-2.23453182732494,-0.0789068952937028,13,-3290.87961796715,6608.07658554198,2.55231292776443,0.0141148239379821
"1724",-9.71264596150734,-8.25438662404203,2.02279274590724,NA,4.16569263027388,7.06637179074084,"+",NA,-0.134471065350509,NA,0.821943159308414,-1.38721648887868,NA,12,-3291.9471924569,6608.16616191729,2.64188930306773,0.0134965945838846
"3836",-7.26051709040116,-8.11761121283032,1.62882080024803,NA,4.12028303555721,6.42017556035012,"+",1.01905503410684,0.487060394389146,NA,0.86968331215252,-0.923712695107975,-1.85121403578256,14,-3289.97895581718,6608.32440378095,2.80013116672944,0.0124698841424521
